time_s,center_temperature_C
0.000000000000000000e+00,9.974524902978221519e+01
3.333333333333333287e-02,9.316295359659041253e+01
6.666666666666666574e-02,8.787500224611309818e+01
1.000000000000000056e-01,8.346003937299894915e+01
1.333333333333333315e-01,7.968745985238058438e+01
1.666666666666666574e-01,7.640712095605805132e+01
2.000000000000000111e-01,7.351647460517573052e+01
2.333333333333333370e-01,7.094131470127827299e+01
2.666666666666666630e-01,6.862660826988582130e+01
2.999999999999999889e-01,6.653007069698531950e+01
3.333333333333333148e-01,6.461855111998123391e+01
3.666666666666666408e-01,6.286895804305567026e+01
4.000000000000000222e-01,6.121791682464652240e+01
4.333333333333333481e-01,6.018426705352998596e+01
4.666666666666666741e-01,5.300290198452512413e+01
5.000000000000000000e-01,1.240309858579102951e+02
5.333333333333333259e-01,-7.750799570324328442e+02
5.666666666666666519e-01,1.031904528589004622e+04
5.999999999999999778e-01,-1.262408563544451899e+05
6.333333333333333037e-01,1.548811267329607392e+06
6.666666666666666297e-01,-1.893789487513881549e+07
6.999999999999999556e-01,2.309946665877210200e+08
7.333333333333332815e-01,-2.811465913282320023e+09
7.666666666666666075e-01,3.415432904870600128e+10
8.000000000000000444e-01,-4.142309813771897583e+11
8.333333333333333703e-01,5.016611750914734375e+12
8.666666666666666963e-01,-6.067706040363939844e+13
9.000000000000000222e-01,7.330770360314437500e+14
9.333333333333333481e-01,-8.847939996902706000e+15
9.666666666666666741e-01,1.066968171756446240e+17
1.000000000000000000e+00,-1.285643907618865408e+18
